@relation CorrelationTest

@attribute 'fulfill via' {'From RDC','Direct Drop'}
@attribute 'vendor inco term' {'N/A - From RDC',EXW,CIP,FCA,DDP,DAP,DDU}
@attribute 'shipment mode' {Truck,Air,Ocean,'Air Charter'}
@attribute 'po sent to vendor date' {'N/A - From RDC',11/13/09,2/20/15,2/28/08,9/14/11,8/26/08,10/27/10,5/2/11,10/2/08,6/30/14,2/28/14,5/9/13,3/2/11,8/21/08,9/30/09,9/16/10,10/10/12,3/17/08,8/3/11,12/6/12,8/5/13,2/26/13,2/27/13,12/10/07,11/18/14,9/12/12,2/12/14,6/20/12,4/28/08,2/15/12,8/21/12,8/22/12,4/7/08,7/16/12,5/20/14,6/12/08,7/18/08,8/7/13,3/13/15,3/11/08,2/26/14,12/29/11,7/10/13,5/5/11,5/18/11,1/11/13,10/5/09,10/4/12,7/26/12,3/20/14,8/10/12,8/12/13,5/14/09,6/2/14,8/18/09,7/7/09,3/31/09,6/21/07,2/2/11,10/16/12,4/9/09,5/18/09,12/2/09,6/25/15,8/10/10,7/9/14,9/11/13,4/20/09,8/14/14,1/17/12,5/22/13,10/29/14,3/16/15,8/28/14,2/3/14,12/4/13,11/21/12,8/28/07,2/5/10,4/2/09,8/1/11,1/27/12,3/3/08,10/22/08,8/6/13,1/27/09,3/24/10,1/17/13,5/23/08,3/17/15,9/3/09,11/5/14,7/9/09,10/23/09,1/7/08,6/4/09,7/31/12,1/23/12,1/14/09,10/7/10,8/18/11,10/5/11,5/21/13,8/30/11,4/20/11,10/22/09,7/31/08,6/13/12,11/16/11,2/25/11,3/13/08,10/27/08,9/4/13,6/20/08,6/18/14,4/24/12,6/21/10,8/13/12,11/21/13,5/27/09,5/23/11,1/12/10,5/13/08,1/15/13,12/4/14,7/20/11,9/21/11,11/19/07,11/16/07,6/5/12,5/12/15,6/14/12,4/30/09,1/3/08,10/18/07,5/29/13,4/4/09,4/29/14,2/27/14,4/3/14,8/12/11,7/18/11,4/11/13,6/2/09,3/11/09,4/19/06,4/9/12,11/19/14,8/2/12,9/15/11,8/27/14,8/4/11,12/26/12,3/28/12,2/26/08,8/23/10,5/26/15,1/28/14,9/4/14,2/12/13,3/25/09,7/6/07,8/13/14,2/6/12,6/23/14,4/21/11,4/20/15,8/31/09,11/6/12,11/14/08,10/15/13,8/27/08,6/7/10,8/29/08,2/29/08,7/21/10,12/22/09,2/18/09,12/18/14,7/30/10,9/2/10,5/8/13,8/29/11,10/16/14,7/30/14,3/19/12,9/22/11,1/23/13,6/13/11,5/20/08,11/1/13,1/29/08,9/17/08,10/24/08,11/30/07,2/17/12,12/2/08,9/25/14,7/1/14,4/1/13,5/19/14,12/8/14,6/6/09,7/17/15,12/11/08,12/16/14,5/6/14,8/22/08,4/5/12,1/8/10,11/13/13,12/14/06,3/19/14,6/1/10,7/26/07,2/1/12,1/2/13,9/18/08,11/22/10,1/25/07,3/1/07,4/15/09,9/24/10,8/11/09,7/2/12,9/7/11,5/22/15,3/5/14,10/29/09,7/9/12,12/9/10,2/17/10,3/30/11,10/14/08,5/31/11,7/28/08,8/24/11,5/27/10,9/19/14,2/25/08,10/22/14,1/26/09,10/22/12,1/26/15,8/27/10,1/30/14,5/7/12,4/18/11,2/19/14,1/12/12,1/9/12,10/23/07,4/27/09,2/14/13,9/29/09,12/28/06,3/31/11,5/3/12,5/13/07,3/27/12,9/19/11,11/12/13,1/5/08,1/22/14,10/6/10,9/24/08,1/5/09,12/29/06,12/12/12,8/15/11,7/2/09,8/7/09,1/21/10,8/28/11,2/24/09,11/24/10,3/23/11,6/8/10,9/11/09,6/4/13,3/21/12,2/6/08,2/3/12,2/25/13,12/7/10,10/7/09,5/15/12,6/30/08,9/3/08,10/9/14,6/17/10,8/19/13,8/29/14,11/9/09,12/1/10,6/13/13,8/12/09,1/7/15,6/2/15,2/10/10,3/19/10,2/17/15,12/13/11,6/28/13,2/11/13,3/28/11,12/23/09,3/4/15,12/2/13,3/25/10,11/18/11,8/13/13,4/30/14,8/24/15,9/10/13,5/18/12,11/19/09,12/10/14,7/3/13,6/28/12,5/12/11,5/8/14,9/22/09,6/12/12,11/28/14,2/8/11,7/1/08,3/24/11,4/23/14,10/4/11,11/11/09,1/13/12,10/10/13,5/21/14,11/14/14,8/11/14,3/9/15,10/18/10,12/24/14,12/14/10,7/21/09,7/15/09,7/4/07,11/21/07,10/3/11,4/4/12,1/22/13,3/29/10,11/2/09,4/3/12,10/3/07,5/10/13,2/9/10,5/5/14,4/14/11,1/16/09,8/23/13,5/13/15,5/26/14,10/3/14,10/15/09,10/11/11,8/14/12,6/24/10,10/28/13,1/15/10,3/4/09,9/14/09,4/28/15,5/23/14,3/14/14,9/24/12,4/10/08,7/17/09,11/11/11,3/31/14,6/26/09,11/5/09,3/27/09,2/12/15,2/5/13,9/30/11,3/31/08,3/18/10,3/21/14,7/31/13,3/10/14,3/31/10,10/15/10,6/25/14,11/29/06,5/13/09,6/16/10,11/14/06,4/29/09,6/11/13,4/4/08,11/7/12,4/17/12,1/30/15,9/28/10,1/16/14,8/25/10,8/9/12,3/22/13,3/5/10,5/7/15,2/20/08,10/21/08,5/27/14,1/4/08,12/17/13,12/15/14,12/6/07,1/25/10,5/15/13,11/3/08,7/24/08,1/21/08,7/8/14,1/20/10,5/15/08,8/27/13,5/30/14,9/27/10,1/25/12,4/25/13,4/21/10,8/19/14,10/25/13,12/6/10,3/25/11,8/6/14,4/29/11,11/12/07,9/21/10,2/23/15,7/31/14,7/12/12,7/28/15,2/5/09,4/1/11,8/5/14,11/23/09,9/9/13,9/29/10,9/17/10,10/8/12,7/3/12,5/27/11,5/7/07,10/16/13,10/10/11,6/24/13,1/24/12,12/2/06,3/26/13,10/12/12,12/5/07,7/13/09,1/9/07,11/15/06,2/10/14,11/26/09,8/11/10,11/4/14,7/16/09,5/28/14,3/26/10,4/11/14,10/14/10,6/8/12,10/7/13,9/23/08,7/8/11,5/1/13,7/25/13,11/28/13,6/5/09,7/3/08,2/15/11,8/15/12,3/19/15,7/16/13,10/30/14,2/9/11,3/8/12,2/6/13,11/17/06,5/11/15,11/4/13,7/1/10,11/2/11,3/7/14,4/4/11,10/31/12,3/6/09,12/19/14,9/26/12,9/2/13,4/16/12,2/1/11,11/17/09,6/23/09,1/7/10,5/16/14,8/3/09,11/9/11,4/29/10,11/4/10,3/2/15,10/22/13,10/24/13,7/1/13,8/25/14,10/30/13,11/25/14,12/31/14,1/16/12,2/4/14,4/15/14,5/14/08,2/14/14,11/1/11,11/22/07,2/6/15,11/2/10,10/25/12,3/3/14,6/22/11,6/29/09,12/30/08,7/11/12,2/13/13,4/17/15,1/11/10,6/11/12,1/29/10,11/18/10,12/8/09,7/30/13,9/19/13,3/7/10,4/23/10,3/13/09,12/27/13,4/15/10,3/12/10,3/11/13,9/12/14,7/7/11,4/24/09,8/2/13,1/21/11,6/3/14,5/17/13,5/27/15,4/14/14,3/19/09,2/24/12,6/13/08,9/10/10,3/30/09,5/26/11,8/4/14,2/9/15,7/25/08,11/19/08,5/1/12,7/15/08,6/10/08,12/30/11,6/26/14,7/18/12,2/15/08,3/28/13,5/23/13,3/6/13,11/15/14,1/24/08,7/3/07,8/19/09,6/1/12,5/29/15,11/24/09,1/18/12,5/1/14,7/30/12,5/15/14,11/10/10,6/12/13,9/17/13,1/7/11,2/24/15,5/8/09,1/25/11,7/17/12,7/17/07,11/19/10,5/5/10,10/8/13,11/17/14,11/9/12,2/12/10,8/9/13,6/19/14,11/6/09,8/2/10,7/18/14,3/17/13,3/18/09,6/20/14,8/20/14,2/4/13,8/26/14,1/3/13,3/9/12,7/10/15,12/14/09,5/7/14,2/7/13,12/5/06,8/4/15,3/14/12,11/12/14,3/8/13,7/23/08,7/11/14,2/8/13,3/14/13,5/19/11,11/4/08,7/14/15,10/31/13}
@attribute brand {Generic,Uni-Gold,Determine,Stat-Pak,Bioline,OraQuick,Capillus,Genie,LAV,Multispot,'Colloidal Gold',Clearview,Reveal,'First Response',Hexagon,DoubleCheck,InstantCHEK,Coartem,Aluvia,Truvada,Crixivan,Norvir,Isentress,Zerit,Invirase,Viramune,'Videx EC',Prezista,Intelence,Viread,Retrovir,Trizivir,Combivir,Epivir,Ziagen,Kaletra,Atripla,Viracept,Stocrin/Sustiva,Paramax,Videx,Reyataz}
@attribute dosage {300mg,20/120mg,50+153mg,150mg,200mg,150/300/200mg,200/50mg,300/300mg,600/300mg,300/200mg,150/300mg,250mg,600mg,30mg,400mg,100mg,15mg,600/300/300mg,200/300mg,150/200/30mg,40mg,150/30mg,600/200/300mg,20mg,150/300mg+600mg,300/150/300mg,300/100mg,500mg,150/200/40mg,133.3/33.3mg,150/300+200mg,500/25mg,10mg/ml,50mg,80/20mg/ml,100/25mg,60/12mg,20mg/ml,30mg/ml,30/50/60mg,30/60mg,60/30mg,30/50/6mg,25mg,30/6mg,80mg/ml,1mg/ml,60mg,50mg/g,125mg,60/100/12mg}
@attribute 'dosage form' {'Test kit - Ancillary','Test kit','Tablet - FDC + blister','Tablet - FDC + co-blister',Tablet,'Tablet - FDC','Delayed-release capsules',Capsule,'Delayed-release capsules - blister','Tablet - blister','Oral solution','Chewable/dispersible tablet','Chewable/dispersible tablet - FDC','Oral suspension','Powder for oral solution',Injection,'Oral powder'}
@attribute 'unit of measure (per pack)' numeric
@attribute 'line item quantity' numeric
@attribute 'line item value' numeric
@attribute 'pack price' numeric
@attribute 'unit price' numeric
@attribute 'manufacturing site' {'Inverness Japan','Trinity Biotech Plc','Alere Medical Co. Ltd.','Chembio Diagnostics Sys. Inc.','Standard Diagnostics Korea','Orasure Technologies Inc USA','Bio-Rad Laboratories','KHB Test Kit Facility Shanghai China','ABBVIE GmbH & Co.KG Wiesbaden','Pacific Biotech Thailand','Ranbaxy Fine Chemicals LTD','Not Applicable','Premier Med. Corp Ltd. India','Human Diagnostic','Orasure Technologies Inc','INVERNESS ANY','Inverness USA','EY Laboratories USA','Novartis Pharma Suffern USA','Novartis Pharma AG Switzerland','Ipca Dadra/Nagar Haveli IN','Aurobindo Unit III India','Cipla Goa India','Strides Bangalore India.','Mylan (formerly Matrix) Nashik','ABBVIE Ludwigshafen Germany','Ranbaxy per Shasun Pharma','Aspen-OSD Port Elizabeth SA','Hetero Unit III Hyderabad IN','MSD Haarlem NL','ABBVIE (Abbott) Logis. UK','Macleods Daman Plant INDIA','Aurobindo Unit VII IN','Cipla Kurkumbh India','Ranbaxy Paonta Shahib India','BMS Meymac France','Roche Basel','Boehringer Ing. Koropi GR','Micro labs Verna Goa India','Janssen-Cilag Latina IT','ABBVIE (Abbott) France','Hetero Jadcherla unit 5 IN','Ranbaxy per Shasun Pharma Ltd','Bristol-Myers Squibb Anagni IT','Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India','GSK Ware (UK)','Gilead(Nycomed) Oranienburg DE','GSK U1 Poznan Poland','GSK Aranda','GSK Cape Town Factory (South Africa)','Cipla Patalganga India','Janssen Ortho LLC Puerto Rico','BI Ingelheim Germany','Cipla Ltd A-42 MIDC Mahar. IN','MSD Elkton USA','Mylan  H-12 & H-13 India','ABBVIE (Abbott) St. P burg USA',ABBSP,'Roche Madrid','MSD Midrand J burg SA','Guilin OSD site No 17 China','Micro Labs Hosur India','Meditab (for Cipla) Daman IN','Micro Labs Ltd. (Brown & Burk) India','Weifa A.S. Hausmanngt. 6 P.O. Box 9113 GrÃ¸nland 0133 Oslo Norway','ABBVIE Labs North Chicago US','GSK Mississauga (Canada)','MSD Manati Puerto Rico (USA)','GSK Barnard Castle UK','BMS Evansville US','GSK Crawley','Boehringer Ingelheim Roxane US'}
@attribute 'first line designation' {True,False}
@attribute 'weight (kilograms)' numeric
@attribute 'line item insurance (usd)' numeric
@attribute 'sub classification' {'HIV test - Ancillary','HIV test',ACT,Adult,Malaria,Pediatric}

@data
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,72.766364,85.047436,8.33804,0.796145,'Aurobindo Unit III India',True,6.164315,128.70957,Adult
'Direct Drop',CIP,Air,11/9/09,Videx,50mg,'Chewable/dispersible tablet',59.059059,3.041945,3.01185,7.059838,0.670438,'BMS Meymac France',True,0.36391,5.013985,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Uni-Gold,300mg,'Test kit',19.019019,2.014523,6.720441,23.780506,6.704379,'Trinity Biotech Plc',True,0.459553,10.17067,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200/50mg,Tablet,119.119119,2.583879,5.30833,14.647305,0.670438,'Mylan (formerly Matrix) Nashik',False,0.601852,4.213563,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,112.901977,100.907421,6.376148,0.586633,'Aurobindo Unit III India',False,21.937263,96.380072,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,81.466392,92.245394,8.077941,1.508485,'Hetero Unit III Hyderabad IN',True,7.891723,88.107321,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,80.643809,61.072007,5.402634,0.502828,'Hetero Unit III Hyderabad IN',False,12.959641,66.113247,Adult
'Direct Drop',EXW,Air,10/15/13,Uni-Gold,300mg,'Test kit',19.019019,51.356617,171.193825,23.780506,6.704379,'Trinity Biotech Plc',True,10.861324,163.512981,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,148.458543,60.157195,2.890818,0.251414,'Strides Bangalore India.',True,5.952034,57.4578,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,44.998532,21.750035,3.448173,0.628536,'Ranbaxy per Shasun Pharma Ltd',True,19.849444,17.264194,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,60/30mg,'Tablet - FDC',59.059059,37.095281,15.263802,2.935406,0.293317,'Mylan (formerly Matrix) Nashik',True,1.110393,12.115292,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600mg,Tablet,29.029029,82.482524,37.289643,3.225231,0.586633,'Aurobindo Unit III India',False,81.77369,62.077411,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Norvir,100mg,Capsule,335.335335,0.229033,0.921621,28.506881,0.460926,'ABBVIE (Abbott) Logis. UK',False,10.504412,1.139011,Adult
'Direct Drop',DDP,Truck,12/2/13,Generic,300mg,Tablet,59.059059,0.15,1.019918,47.992034,4.525456,'Aurobindo Unit III India',False,1.519792,0.974257,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,3.053236,2.97529,6.948367,0.670438,'Mylan (formerly Matrix) Nashik',False,0.526037,3.675192,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.200001,0.171161,6.056598,0.586633,'Aurobindo Unit III India',False,0.521372,0.211457,Adult
'Direct Drop',DDP,Truck,7/11/14,Reyataz,150mg,Capsule,59.059059,0.001613,0.008631,19.083856,1.801802,'BMS Evansville US',True,1.519792,0.007784,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,60/30mg,'Tablet - FDC',59.059059,82.009942,33.744283,2.935406,0.293317,'Aurobindo Unit III India',True,2.766652,26.784927,Pediatric
'Direct Drop',EXW,Air,5/23/14,Generic,150/300/200mg,'Tablet - FDC',59.059059,46.945313,40.100434,6.093755,0.586633,'Aurobindo Unit III India',True,4.253785,31.830046,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200/50mg,Tablet,119.119119,28.219446,86.162281,21.781457,1.005657,'Aurobindo Unit III India',True,5.712926,93.274385,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,8.240349,1.656975,1.434262,0.041902,'Aurobindo Unit III India',True,2.146138,2.110673,Pediatric
'Direct Drop',FCA,Air,7/18/12,Kaletra,80/20mg/ml,'Oral solution',299.299299,1.650005,5.302374,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',True,1.182709,5.740461,Pediatric
'Direct Drop',EXW,Air,9/11/13,Uni-Gold,300mg,'Test kit',19.019019,7.256475,24.193587,23.780506,6.704379,'Trinity Biotech Plc',True,1.578111,23.108437,'HIV test'
'Direct Drop',EXW,Air,7/9/12,Determine,300mg,'Test kit',99.099099,7.230668,60.268914,59.451265,3.352189,'Alere Medical Co. Ltd.',True,2.272107,65.24407,'HIV test'
'Direct Drop',EXW,Air,12/22/09,Uni-Gold,300mg,'Test kit',19.019019,8.488737,28.301121,23.780506,6.704379,'Trinity Biotech Plc',True,2.129809,47.113294,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,56.450182,32.577337,4.117,0.754243,'Mylan (formerly Matrix) Nashik',True,3.09907,35.266539,Adult
'Direct Drop',EXW,Air,3/16/15,Uni-Gold,300mg,'Test kit',19.019019,0.567744,1.897853,23.780506,6.704379,'Trinity Biotech Plc',False,0.592521,1.725382,'HIV test'
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600mg,Tablet,29.029029,0.301614,0.150034,3.529919,0.670438,'Aurobindo Unit III India',True,0.019828,0.250375,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,4.853241,0.976026,1.434262,0.041902,'Aurobindo Unit III India',True,3.734747,1.624194,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,4.961306,6.208809,8.925121,1.676095,'Aurobindo Unit III India',False,0.492212,7.670813,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,29.029029,0.320969,0.119288,2.63815,0.502828,'Mylan (formerly Matrix) Nashik',True,0.013997,0.108971,Adult
'Direct Drop',EXW,Air,7/21/10,Determine,300mg,'Test kit',99.099099,8.062929,65.272283,57.742041,3.268385,'Inverness Japan',True,1.322674,108.661415,'HIV test'
'Direct Drop',DDP,Truck,12/10/14,Epivir,150mg,Tablet,59.059059,1.583876,1.698027,7.639488,0.71234,'GSK Cape Town Factory (South Africa)',False,1.519792,1.543762,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,148.539189,177.939215,8.546119,1.59229,'Mylan (formerly Matrix) Nashik',True,8.964792,269.291841,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,59.059059,7.091958,5.187166,5.216848,0.502828,'Hetero Unit III Hyderabad IN',True,0.261269,6.608341,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600/200/300mg,'Tablet - FDC',29.029029,169.376353,241.539647,10.173598,1.927509,'Mylan (formerly Matrix) Nashik',True,15.620152,261.475733,Adult
'Direct Drop',DDP,Truck,7/21/09,Generic,50mg,Capsule,29.029029,0.143549,0.062078,3.054309,0.586633,'Aurobindo Unit III India',True,1.519792,0.093404,Pediatric
'Direct Drop',DDP,Truck,'N/A - From RDC',Videx,100mg,'Chewable/dispersible tablet',59.059059,0.009677,0.015348,9.697988,0.921852,'BMS Meymac France',False,1.519792,0.023351,Pediatric
'Direct Drop',EXW,Air,2/20/15,Determine,300mg,'Test kit - Ancillary',0,0.022581,0.012601,3.715704,20.951184,'Alere Medical Co. Ltd.',True,1.519792,0.011676,'HIV test - Ancillary'
'Direct Drop',EXW,Air,6/4/09,Clearview,300mg,'Test kit',24.024024,0.004839,0.050403,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.',True,0.004666,0.076539,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,50mg,Capsule,29.029029,2.708073,0.632259,1.664635,0.293317,'Aurobindo Unit III India',False,11.238065,0.684963,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,2.975816,2.046979,4.904729,0.460926,'Hetero Unit III Hyderabad IN',False,12.381117,1.624194,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,0.633873,0.123125,1.382242,0.041902,'Aurobindo Unit III India',False,0.717323,0.118052,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,20mg/ml,'Oral solution',239.239239,0.462905,0.658066,10.106715,0.251414,'Aurobindo Unit III India',False,0.870119,1.094904,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,47.585637,9.666145,1.449125,0.041902,'Aurobindo Unit III India',True,12.728698,12.315073,Pediatric
'Direct Drop',EXW,Air,5/14/08,Generic,300mg,Tablet,59.059059,1.043552,0.816534,5.573556,0.502828,'Mylan (formerly Matrix) Nashik',False,1.792725,1.009283,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300mg,'Tablet - FDC',29.029029,5.482276,7.974475,10.374246,1.969411,'Mylan (formerly Matrix) Nashik',True,0.367409,7.616327,Adult
'Direct Drop',EXW,Air,10/10/13,Generic,300mg,Tablet,29.029029,19.86458,7.346341,2.63815,0.502828,'Hetero Unit III Hyderabad IN',False,3.303186,7.016984,Adult
'Direct Drop',DDP,Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,0.320969,1.038644,22.970482,1.089462,'ABBVIE Ludwigshafen Germany',False,1.519792,1.572303,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,60/30mg,'Tablet - FDC',59.059059,8.101639,3.882802,3.418448,0.335219,'Aurobindo Unit III India',True,3.186548,4.203185,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,13.143591,26.016507,14.119675,1.340876,'Mylan (formerly Matrix) Nashik',False,11.504,43.310968,Adult
'Direct Drop',EXW,Air,3/28/12,Determine,300mg,'Test kit',99.099099,0.104839,0.887098,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.034991,0.959987,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,14.632305,3.826154,1.865283,0.167609,'Hetero Unit III Hyderabad IN',True,2.451729,6.369642,Adult
'Direct Drop',FCA,Air,7/30/12,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.032258,0.214587,45.197824,0.838047,'ABBVIE (Abbott) Logis. UK',True,0.060652,0.232213,Pediatric
'Direct Drop',EXW,Air,5/27/11,Generic,600/300/300mg,'Tablet - FDC',29.029029,2.004845,2.946981,10.478285,1.969411,'Mylan (formerly Matrix) Nashik',True,0.204116,3.754326,Adult
'Direct Drop',EXW,Air,4/30/14,Generic,300mg,Tablet,59.059059,0.966132,1.154236,8.508962,0.796145,'Hetero Unit III Hyderabad IN',False,2.272107,0.915879,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,195.086113,73.970644,2.705033,0.502828,'Aurobindo Unit III India',True,13.260567,80.075865,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,6.450021,1.411293,1.560596,0.041902,'Aurobindo Unit III India',True,1.326173,1.798029,Pediatric
'Direct Drop',EXW,Air,10/10/12,Determine,300mg,'Test kit - Ancillary',0,0.129033,0.068044,3.715704,20.951184,'Alere Medical Co. Ltd.',False,0.018662,0.073945,'HIV test - Ancillary'
'Direct Drop',FCA,Air,8/12/09,Aluvia,200/50mg,Tablet,119.119119,2.256459,19.334709,61.086175,2.849361,'ABBVIE Ludwigshafen Germany',True,0.243773,29.261433,Adult
'Direct Drop',DDP,Truck,8/13/13,Generic,150mg,Tablet,59.059059,0.667744,0.680307,7.253054,0.670438,'Hetero Unit III Hyderabad IN',False,1.519792,0.649937,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,12.901655,6.317214,3.492762,0.670438,'Hetero Unit III Hyderabad IN',True,0.367409,6.839257,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/200/30mg,'Tablet - FDC',59.059059,57.417927,44.260824,5.499242,0.502828,'Cipla Goa India',True,4.351761,54.680324,Adult
'Direct Drop',CIP,Air,2/4/14,Isentress,400mg,Tablet,59.059059,2.095168,12.121995,41.244315,3.855018,'MSD Haarlem NL',True,1.519792,9.621921,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200/50mg,Tablet,119.119119,13.867787,31.46615,16.185607,0.754243,'Mylan (formerly Matrix) Nashik',True,2.674508,30.054071,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,6.450021,5.725816,6.33156,0.586633,'Ranbaxy Paonta Shahib India',True,1.519792,31.149964,Adult
'Direct Drop',EXW,Air,2/24/09,Determine,300mg,'Test kit',99.099099,2.41775,17.641157,52.019857,2.933166,'Inverness Japan',True,0.397735,26.698009,'HIV test'
'Direct Drop',EXW,Air,10/30/13,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.301614,0.973483,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',True,0.25777,0.773178,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,59.059059,70.450227,47.995239,4.860141,0.460926,'Aurobindo Unit III India',True,7.622289,45.84196,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,30.643647,20.813206,4.845278,0.460926,'Hetero Unit III Hyderabad IN',False,1.963016,16.520852,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,85.318017,72.077196,6.026872,0.586633,'Hetero Unit III Hyderabad IN',False,21.85445,57.211316,Adult
'Direct Drop',EXW,Air,8/29/14,Generic,150/300mg,'Tablet - FDC',59.059059,43.003365,29.610671,4.912161,0.460926,'Hetero Jadcherla unit 5 IN',True,4.937284,23.504107,Adult
'Direct Drop',FCA,Air,3/28/13,Kaletra,80/20mg/ml,'Oral solution',299.299299,1.224197,3.935356,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',True,0.882949,3.758218,Pediatric
'Direct Drop',DDP,Ocean,9/24/10,Generic,50mg,Capsule,29.029029,51.740489,12.881607,1.776107,0.335219,'Aurobindo Unit III India',True,3.109567,21.444028,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,1mg/ml,'Oral solution',199.199199,3.17743,0.46361,1.040397,0.041902,'Aurobindo Unit III India',False,0.709159,0.573397,Pediatric
'Direct Drop',DDP,Truck,9/22/09,Aluvia,200/50mg,Tablet,119.119119,5.643567,25.629331,32.386077,1.508485,'ABBVIE Ludwigshafen Germany',True,1.519792,38.787355,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,30mg,Capsule,59.059059,7.111313,1.081756,1.084986,0.083805,'Aurobindo Unit III India',True,0.333584,1.800624,Adult
'Direct Drop',EXW,Air,5/2/11,Bioline,300mg,'Test kit',24.024024,16.127471,33.602205,14.862816,3.352189,'Standard Diagnostics Korea',True,3.889875,42.810218,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Stocrin/Sustiva,30mg/ml,'Oral solution',179.179179,6.337117,0.006603,0.007431,0,'MSD Haarlem NL',True,1.519792,0.010378,Pediatric
