'pq #','fulfill via','vendor inco term','po sent to vendor date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','pack price','unit price','manufacturing site','sub classification'
FPQ-13042,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.679498,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-14728,'Direct Drop',EXW,8/19/14,'Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,600/200/300mg,'Tablet - FDC',29.029029,7.802979,1.466583,'Mylan  H-12 & H-13 India',Adult
FPQ-10048,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.905681,0.544731,'Strides Bangalore India.',Adult
FPQ-11964,'Direct Drop',EXW,8/12/13,Atazanavir,Generic,300mg,Capsule,29.029029,14.862816,2.807459,'Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India',Adult
FPQ-14458,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.617193,1.42468,'Cipla Ltd A-42 MIDC Mahar. IN',Adult
FPQ-5023,'From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,8.731905,1.634192,'Mylan (formerly Matrix) Nashik',Adult
FPQ-11828,'Direct Drop',DDP,'N/A - From RDC',Stavudine,Generic,30mg,Capsule,59.059059,2.994857,0.293317,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,30mg,Capsule,59.059059,1.084986,0.083805,'Aurobindo Unit III India',Adult
'Pre-PQ Process','Direct Drop',EXW,'N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,8.278589,0.796145,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.155108,0.209512,'Aurobindo Unit III India',Adult
FPQ-11828,'Direct Drop',DDP,'N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,11.949704,2.262728,'Cipla Goa India',Adult
FPQ-10811,'Direct Drop',EXW,11/9/12,Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,1.37481,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-4469,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,100mg,Capsule,99.099099,3.715704,0.209512,'Aurobindo Unit III India',Pediatric
FPQ-7052,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,4.131863,0.377121,'Cipla Goa India',Adult
FPQ-4167,'Direct Drop',EXW,9/30/09,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary',2.002002,18.57852,34.904672,'Orasure Technologies Inc USA','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,7/4/07,Zidovudine,Generic,10mg/ml,'Oral solution',239.239239,1.560596,0.041902,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',EXW,12/11/08,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,30/50/6mg,'Chewable/dispersible tablet - FDC',59.059059,1.850421,0.167609,'Cipla Goa India',Pediatric
FPQ-14083,'Direct Drop',EXW,6/2/14,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.802979,1.466583,'Hetero Unit III Hyderabad IN',Adult
FPQ-6222,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.136054,0.586633,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Ritonavir,Norvir,100mg,Capsule,83.083083,7.12672,0.460926,'ABBVIE (Abbott) Logis. UK',Adult
FPQ-7053,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,1.449125,0.041902,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',EXW,2/25/08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,53.498707,3.01697,'Inverness Japan','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.229422,0.209512,'Aurobindo Unit III India',Adult
FPQ-9807,'Direct Drop',EXW,6/20/12,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-9432,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.905681,0.544731,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',EXW,2/24/09,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,52.019857,2.933166,'Inverness Japan','HIV test'
FPQ-7052,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,3.998098,0.377121,'Strides Bangalore India.',Adult
FPQ-12522,'Direct Drop',DDP,8/27/14,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,16.794982,3.142678,'Aurobindo Unit III India',Adult
FPQ-5239,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC',59.059059,2.526679,0.251414,'Cipla Goa India',Adult
FPQ-14052,'Direct Drop',EXW,5/23/14,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.093755,0.586633,'Aurobindo Unit III India',Adult
FPQ-4694,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,5.59585,0.544731,'Hetero Unit III Hyderabad IN',Adult
FPQ-12033,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,4.860141,0.460926,'Aurobindo Unit III India',Adult
'Pre-PQ Process','Direct Drop',EXW,4/28/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0.0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Stavudine,Zerit,20mg,Capsule,59.059059,2.920543,0.293317,'BMS Meymac France',Adult
FPQ-12522,'Direct Drop',DDP,8/13/14,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,17.426652,0.335219,'ABBVIE (Abbott) Logis. UK',Pediatric
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0.0,'Inverness Japan','HIV test - Ancillary'
FPQ-13123,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC',59.059059,1.850421,0.167609,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','Direct Drop',EXW,1/25/07,'HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,103.296573,5.824429,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,9.229809,1.717997,'Aurobindo Unit III India',Adult
FPQ-4891,'Direct Drop',EXW,2/5/10,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
FPQ-6800,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.33804,0.796145,'Aurobindo Unit III India',Adult
FPQ-4497,'From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,30mg,Capsule,59.059059,1.084986,0.083805,'Aurobindo Unit III India',Adult
FPQ-8840,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.731518,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-5303,'Direct Drop',DDP,3/19/10,Lamivudine,Generic,150mg,Tablet,59.059059,1.880146,0.167609,'Aurobindo Unit III India',Adult
'Pre-PQ Process','Direct Drop',DDP,4/2/09,Efavirenz,Generic,50mg,Capsule,29.029029,2.340894,0.419024,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',CIP,11/29/06,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,134.374721,6.327257,'ABBVIE (Abbott) Logis. UK',Adult
FPQ-12623,'Direct Drop',EXW,8/6/13,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-12093,'Direct Drop',FCA,5/23/13,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',Pediatric
FPQ-13042,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,10mg/ml,'Oral suspension',99.099099,0.966083,0.041902,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',EXW,5/13/07,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.499242,0.502828,'Strides Bangalore India.',Adult
FPQ-14396,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,2.675307,0.251414,'Strides Bangalore India.',Pediatric
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.291163,0.502828,'Strides Bangalore India.',Adult
FPQ-7175,'Direct Drop',DDP,3/28/11,Nevirapine,Generic,200mg,Tablet,59.059059,2.021343,0.209512,'Cipla Goa India',Adult
FPQ-6484,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,1.37481,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-10633,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,18.400166,0.87995,'Aurobindo Unit III India',Adult
FPQ-6202,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.306977,0.628536,'Strides Bangalore India.',Adult
FPQ-10632,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.376148,0.586633,'Aurobindo Unit III India',Adult
FPQ-12416,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,300mg,Tablet,59.059059,8.345471,0.796145,'Mylan (formerly Matrix) Nashik',Adult
FPQ-12766,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.138343,0.586633,'Aurobindo Unit III India',Adult
FPQ-13812,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.679498,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-13973,'Direct Drop',DDP,10/3/14,Didanosine,Generic,250mg,'Delayed-release capsules',29.029029,11.332897,2.137021,'Aurobindo Unit III India',Adult
FPQ-12539,'Direct Drop',EXW,7/25/13,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.019441,0.544731,'Cipla Goa India',Adult
FPQ-9599,'Direct Drop',EXW,5/3/12,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-13973,'Direct Drop',DDP,4/28/15,Lamivudine,Generic,150mg,Tablet,59.059059,6.792307,0.628536,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,2.259148,0.209512,'Ranbaxy Paonta Shahib India',Adult
FPQ-7175,'Direct Drop',DDP,3/23/11,Efavirenz,Generic,600mg,Tablet,29.029029,3.500193,0.670438,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.291163,0.502828,'Cipla Goa India',Adult
FPQ-11442,'Direct Drop',FCA,2/11/13,Ritonavir,Norvir,100mg,Tablet,59.059059,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',Adult
FPQ-11864,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.474659,0.460926,'Aurobindo Unit III India',Adult
FPQ-8795,'Direct Drop',EXW,1/12/12,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-13973,'Direct Drop',DDP,8/5/14,Raltegravir,Isentress,400mg,Tablet,59.059059,59.443833,5.573015,'MSD Haarlem NL',Adult
FPQ-4356,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.509913,0.628536,'Hetero Unit III Hyderabad IN',Adult
FPQ-13102,'Direct Drop',EXW,11/4/13,Zidovudine,Generic,300mg,Tablet,59.059059,4.035255,0.377121,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,7.617193,0.71234,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,7.022681,0.670438,'Aurobindo Unit III India',Adult
FPQ-13851,'Direct Drop',EXW,5/16/14,Atazanavir/Ritonavir,Generic,300/100mg,Tablet,29.029029,14.862816,2.807459,'Mylan (formerly Matrix) Nashik',Adult
FPQ-12520,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.817841,1.466583,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.499242,0.502828,'Cipla Goa India',Adult
FPQ-12051,'Direct Drop',FCA,8/19/13,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,45.197824,2.137021,'ABBVIE Ludwigshafen Germany',Adult
FPQ-14989,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.134152,1.340876,'Aurobindo Unit VII IN',Adult
FPQ-15038,'Direct Drop',EXW,1/7/15,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.160637,0.586633,'Hetero Unit III Hyderabad IN',Adult
FPQ-14942,'Direct Drop',DDP,6/2/15,Etravirine,Intelence,100mg,Tablet,119.119119,19.016973,0.87995,'Janssen-Cilag Latina IT',Adult
FPQ-12634,'Direct Drop',EXW,8/6/13,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-7052,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.06174,0.586633,'Mylan (formerly Matrix) Nashik',Adult
FPQ-3596,'Direct Drop',DDP,9/22/09,Efavirenz,Generic,600mg,Tablet,29.029029,12.224666,2.30463,'Aurobindo Unit III India',Adult
'Pre-PQ Process','Direct Drop',CIP,3/6/09,'Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Atripla,600/200/300mg,'Tablet - FDC',29.029029,37.454297,7.039598,'MSD Haarlem NL',Adult
FPQ-14516,'Direct Drop',FCA,8/11/14,Ritonavir,Norvir,100mg,Tablet,29.029029,17.285455,3.268385,'ABBVIE Ludwigshafen Germany',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.471805,0.796145,'Aurobindo Unit III India',Adult
FPQ-8620,'From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,15mg,Capsule,59.059059,0.980946,0.083805,'Aurobindo Unit III India',Adult
FPQ-13973,'Direct Drop',DDP,10/3/14,Nevirapine,Generic,200mg,Tablet,59.059059,13.190749,1.257071,'Aurobindo Unit III India',Adult
FPQ-6708,'Direct Drop',DDP,12/14/10,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,4.941886,0.921852,'Aurobindo Unit III India',Adult
FPQ-9506,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.731518,0.167609,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,15.687703,1.466583,'Cipla Goa India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Viread,300mg,Tablet,29.029029,12.633394,2.388435,'Gilead(Nycomed) Oranienburg DE',Adult
FPQ-14989,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.134152,1.340876,'Hetero Unit III Hyderabad IN',Adult
FPQ-6470,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,6.554502,1.215169,'Mylan (formerly Matrix) Nashik',Adult
FPQ-4378,'From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,6.338991,1.173266,'Mylan (formerly Matrix) Nashik',Adult
FPQ-13804,'Direct Drop',EXW,3/7/14,Abacavir,Generic,300mg,Tablet,59.059059,8.241432,0.754243,'Mylan (formerly Matrix) Nashik',Adult
FPQ-6708,'Direct Drop',DDP,12/14/10,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,4.941886,0.921852,'Aurobindo Unit III India',Adult
FPQ-10728,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,5.201986,0.502828,'Hetero Unit III Hyderabad IN',Adult
FPQ-14942,'Direct Drop',DDP,10/9/14,Abacavir,Generic,300mg,Tablet,59.059059,39.802622,3.729311,'Aurobindo Unit III India',Adult
FPQ-7085,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.865283,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-15928,'Direct Drop',EXW,3/17/15,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,24.152076,6.788184,'Chembio Diagnostics Sys. Inc.','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,2.259148,0.209512,'Aurobindo Unit III India',Adult
FPQ-14895,'Direct Drop',EXW,11/14/14,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.617193,1.42468,'Hetero Unit III Hyderabad IN',Adult
FPQ-4770,'Direct Drop',DDP,12/23/09,Ritonavir,Norvir,100mg,Capsule,83.083083,7.996195,0.544731,'ABBVIE (Abbott) Logis. UK',Adult
FPQ-8263,'Direct Drop',EXW,8/29/11,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-12197,'Direct Drop',EXW,5/29/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.0,0.0,'Alere Medical Co. Ltd.','HIV test'
FPQ-14396,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.385482,0.460926,'Strides Bangalore India.',Adult
FPQ-12837,'Direct Drop',EXW,8/23/13,Zidovudine,Generic,300mg,Tablet,59.059059,4.035255,0.377121,'Aurobindo Unit III India',Adult
FPQ-4537,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.509913,0.628536,'Hetero Unit III Hyderabad IN',Adult
FPQ-5535,'Direct Drop',DDP,4/21/10,Efavirenz,Generic,50mg,Capsule,29.029029,2.593561,0.502828,'Aurobindo Unit III India',Pediatric
FPQ-11771,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,15.605957,0.754243,'Hetero Unit III Hyderabad IN',Adult
FPQ-12570,'Direct Drop',EXW,8/6/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-14813,'Direct Drop',EXW,12/15/14,Atazanavir/Ritonavir,Generic,300/100mg,Tablet,29.029029,13.376535,2.514142,'Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India',Adult
'Pre-PQ Process','Direct Drop',EXW,7/3/07,Didanosine,Generic,100mg,'Chewable/dispersible tablet',59.059059,5.759341,0.544731,'Aurobindo Unit III India',Pediatric
FPQ-13035,'Direct Drop',DDP,12/2/13,Nevirapine,Generic,200mg,Tablet,59.059059,12.707708,1.215169,'Cipla Goa India',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Efavirenz,Stocrin/Sustiva,50mg,Capsule,29.029029,2.125383,0.419024,'MSD Midrand J burg SA',Pediatric
FPQ-10405,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.474659,0.460926,'Hetero Jadcherla unit 5 IN',Adult
FPQ-14667,'Direct Drop',EXW,9/25/14,Lamivudine/Zidovudine,Generic,30/60mg,'Chewable/dispersible tablet - FDC',59.059059,1.47885,0.125707,'Mylan  H-12 & H-13 India',Pediatric
FPQ-9676,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,300mg,Tablet,59.059059,9.772302,0.921852,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','Direct Drop',EXW,5/27/09,'HIV 1/2 OraQuick Advance HIV Rapid Antibody Kit',OraQuick,300mg,'Test kit',99.099099,260.099284,14.665829,'Pacific Biotech Thailand','HIV test'
FPQ-12812,'Direct Drop',EXW,11/1/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-5023,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.509913,0.628536,'Mylan (formerly Matrix) Nashik',Adult
FPQ-13967,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,2.771915,0.251414,'Cipla Goa India',Pediatric
FPQ-13954,'Direct Drop',EXW,4/3/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-7052,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC',59.059059,2.192265,0.209512,'Strides Bangalore India.',Adult
FPQ-13035,'Direct Drop',DDP,12/2/13,Efavirenz,Generic,600mg,Tablet,29.029029,11.481526,2.178923,'Aurobindo Unit III India',Adult
FPQ-10556,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.831366,0.544731,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.471805,0.796145,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,'Tablet - FDC',59.059059,52.019857,4.902577,'GSK Ware (UK)',Adult
FPQ-5201,'From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,1mg/ml,'Oral solution',199.199199,1.00324,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-12623,'Direct Drop',EXW,8/6/13,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-15569,'Direct Drop',EXW,2/20/15,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-12066,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.679498,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-4711,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC',59.059059,2.526679,0.251414,'Strides Bangalore India.',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,10mg/ml,'Oral solution',239.239239,0.007431,0.0,'Aurobindo Unit III India',Pediatric
FPQ-14636,'Direct Drop',EXW,7/31/14,Lamivudine,Generic,150mg,Tablet,59.059059,1.278202,0.125707,'Micro labs Verna Goa India',Adult
FPQ-14942,'Direct Drop',DDP,5/11/15,Efavirenz,Generic,200mg,Capsule,89.089089,12.663119,0.796145,'Aurobindo Unit III India',Pediatric
FPQ-7934,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,4.518296,0.838047,'Mylan (formerly Matrix) Nashik',Adult
FPQ-10089,'Direct Drop',EXW,6/12/12,Nevirapine,Generic,200mg,Tablet,59.059059,1.738949,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-15038,'Direct Drop',EXW,12/31/14,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.802979,1.466583,'Aurobindo Unit VII IN',Adult
FPQ-13508,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.620047,0.167609,'Micro labs Verna Goa India',Adult
