'pq #','fulfill via','vendor inco term','po sent to vendor date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','pack price','unit price','manufacturing site','sub classification'
FPQ-10048,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.905681,0.544731,'Strides Bangalore India.',Adult
FPQ-9365,'Direct Drop',CIP,4/4/12,Raltegravir,Isentress,400mg,Tablet,59.059059,41.244315,3.855018,'MSD Haarlem NL',Adult
FPQ-5023,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.418448,0.628536,'Aurobindo Unit III India',Adult
FPQ-11417,'Direct Drop',EXW,1/22/13,Nevirapine,Generic,200mg,Tablet,59.059059,1.642341,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-5317,'Direct Drop',EXW,3/29/10,Efavirenz,Generic,600mg,Tablet,29.029029,3.195505,0.586633,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC',29.029029,1.486282,0.293317,'Cipla Goa India',Adult
FPQ-9676,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.731518,0.167609,'Macleods Daman Plant INDIA',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,5.090515,0.963754,'Mylan (formerly Matrix) Nashik',Adult
FPQ-6891,'From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,30mg,Capsule,59.059059,1.040397,0.083805,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,2.259148,0.209512,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.291163,0.502828,'Cipla Goa India',Adult
FPQ-4537,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.028774,0.209512,'Hetero Unit III Hyderabad IN',Adult
FPQ-14895,'Direct Drop',EXW,11/14/14,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.617193,1.42468,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC','Tenofovir Disoproxil Fumarate',Viread,300mg,Tablet,29.029029,17.538123,3.310287,'Aspen-OSD Port Elizabeth SA',Adult
FPQ-4265,'Direct Drop',EXW,11/2/09,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,4.570316,0.419024,'Cipla Goa India',Adult
FPQ-10780,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,600/200/300mg,'Tablet - FDC',29.029029,10.173598,1.927509,'Mylan (formerly Matrix) Nashik',Adult
FPQ-6306,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,5.358045,0.502828,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,7.059838,0.670438,'Cipla Goa India',Adult
FPQ-8742,'Direct Drop',EXW,4/3/12,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,9.660831,1.801802,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','Direct Drop',CIP,10/3/07,'Didanosine EC','Videx EC',400mg,'Delayed-release capsules - blister',29.029029,17.590143,3.310287,'BMS Meymac France',Adult
FPQ-12187,'Direct Drop',EXW,5/10/13,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,8.538688,1.59229,'Mylan (formerly Matrix) Nashik',Adult
FPQ-6403,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.976755,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-11022,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.817841,1.466583,'Hetero Unit III Hyderabad IN',Adult
FPQ-5967,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,4.258197,0.419024,'Strides Bangalore India.',Adult
FPQ-7217,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.33804,0.796145,'Aurobindo Unit III India',Adult
FPQ-13123,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC',59.059059,1.850421,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-4954,'Direct Drop',CIP,2/9/10,Abacavir,Generic,300mg,Tablet,59.059059,12.076038,1.131364,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','Direct Drop',EXW,'N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,2.965132,0.293317,'Ranbaxy Paonta Shahib India',Adult
FPQ-13555,'Direct Drop',EXW,5/5/14,Didanosine,Generic,250mg,'Delayed-release capsules',29.029029,5.633007,1.047559,'Aurobindo Unit III India',Adult
FPQ-11546,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,5.402634,0.502828,'Aurobindo Unit III India',Adult
FPQ-7427,'Direct Drop',EXW,4/14/11,Stavudine,Generic,30mg,Capsule,59.059059,1.077554,0.083805,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','Direct Drop',EXW,1/16/09,Zidovudine,Generic,300mg,Tablet,59.059059,5.573556,0.502828,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,30mg,Capsule,59.059059,1.151868,0.125707,'Aurobindo Unit III India',Adult
FPQ-5303,'Direct Drop',DDP,3/19/10,Efavirenz,Generic,600mg,Tablet,29.029029,3.470468,0.670438,'Aurobindo Unit III India',Adult
FPQ-8952,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.06174,0.586633,'Strides Bangalore India.',Adult
FPQ-12837,'Direct Drop',EXW,8/23/13,Zidovudine,Generic,300mg,Tablet,59.059059,4.830415,0.460926,'Mylan (formerly Matrix) Nashik',Adult
FPQ-13973,'Direct Drop',DDP,8/28/14,Didanosine,Generic,400mg,'Delayed-release capsules',29.029029,14.625011,2.765556,'Aurobindo Unit III India',Adult
FPQ-8297,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,5.216848,0.502828,'Mylan (formerly Matrix) Nashik',Adult
FPQ-5239,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.509913,0.628536,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Saquinavir,Invirase,200mg,Capsule,269.269269,58.440593,1.215169,'Roche Basel',Adult
FPQ-4265,'Direct Drop',EXW,11/2/09,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,4.570316,0.419024,'Cipla Goa India',Adult
FPQ-16194,'Direct Drop',EXW,5/13/15,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.059838,1.340876,'Hetero Unit III Hyderabad IN',Adult
FPQ-4187,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.33804,0.796145,'Aurobindo Unit III India',Adult
FPQ-4495,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.529919,0.670438,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,8.925121,1.676095,'Aurobindo Unit III India',Adult
FPQ-10632,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.645581,0.502828,'Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India',Adult
FPQ-13508,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.679498,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-7175,'Direct Drop',DDP,3/24/11,Efavirenz,Generic,600mg,Tablet,29.029029,3.351565,0.628536,'Aurobindo Unit III India',Adult
FPQ-4378,'From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,6.338991,1.173266,'Mylan (formerly Matrix) Nashik',Adult
FPQ-10477,'From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,4.741238,0.87995,'Aurobindo Unit III India',Adult
FPQ-4187,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.813264,0.167609,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Ritonavir,Norvir,100mg,Capsule,335.335335,28.506881,0.460926,'ABBVIE (Abbott) Logis. UK',Adult
FPQ-10641,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.798401,0.167609,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,23.721055,1.131364,'ABBVIE Ludwigshafen Germany',Adult
FPQ-6708,'Direct Drop',DDP,12/14/10,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,5.097946,0.963754,'Cipla Goa India',Adult
FPQ-13939,'Direct Drop',EXW,5/26/14,'Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,3.455605,0.670438,'Aurobindo Unit VII IN',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',Adult
FPQ-13973,'Direct Drop',DDP,10/3/14,Nevirapine,Generic,200mg,Tablet,59.059059,13.190749,1.257071,'Aurobindo Unit III India',Adult
FPQ-14458,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.253054,1.382778,'Mylan (formerly Matrix) Nashik',Adult
FPQ-14370,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,4.845278,0.460926,'Hetero Unit III Hyderabad IN',Adult
FPQ-8464,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,4.117,0.754243,'Mylan (formerly Matrix) Nashik',Adult
FPQ-4359,'Direct Drop',DDP,10/15/09,Zidovudine,Retrovir,300mg,Tablet,59.059059,11.957136,1.131364,'GSK Ware (UK)',Adult
FPQ-4373,'Direct Drop',FCA,12/2/09,Ritonavir,Norvir,100mg,Capsule,335.335335,28.506881,0.460926,'ABBVIE (Abbott) Logis. UK',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.499242,0.502828,'Cipla Goa India',Adult
FPQ-8464,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.798401,0.167609,'Aurobindo Unit III India',Adult
FPQ-13221,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,3.448173,0.628536,'Hetero Unit III Hyderabad IN',Adult
FPQ-8366,'Direct Drop',FCA,10/11/11,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,22.9036,1.089462,'ABBVIE Ludwigshafen Germany',Adult
FPQ-10286,'Direct Drop',FCA,8/14/12,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,45.197824,2.137021,'ABBVIE Ludwigshafen Germany',Adult
FPQ-7053,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,4.131863,0.377121,'Cipla Goa India',Adult
FPQ-4537,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine+Efavirenz,Generic,150/300mg+600mg,'Tablet - FDC + co-blister',89.089089,20.436372,1.298973,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,300mg,Tablet,59.059059,26.604441,2.514142,'Aurobindo Unit III India',Adult
FPQ-11964,'Direct Drop',EXW,8/12/13,Atazanavir,Generic,300mg,Capsule,29.029029,14.862816,2.807459,'Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India',Adult
FPQ-11141,'Direct Drop',FCA,1/11/13,Ritonavir,Norvir,100mg,Tablet,59.059059,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Viread,300mg,Tablet,29.029029,12.633394,2.388435,'Gilead(Nycomed) Oranienburg DE',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.499242,0.502828,'Cipla Goa India',Adult
FPQ-13123,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,3.492762,0.670438,'Cipla Kurkumbh India',Adult
FPQ-5303,'Direct Drop',DDP,3/19/10,Efavirenz,Generic,600mg,Tablet,29.029029,3.470468,0.670438,'Aurobindo Unit III India',Adult
FPQ-7659,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.33804,0.796145,'Mylan (formerly Matrix) Nashik',Adult
FPQ-5900,'Direct Drop',EXW,6/24/10,Nevirapine,Generic,200mg,Tablet,59.059059,1.932166,0.167609,'Aurobindo Unit III India',Adult
FPQ-9432,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,600/200/300mg,'Tablet - FDC',29.029029,11.176838,2.095118,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.471805,0.796145,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,8.925121,1.676095,'Mylan (formerly Matrix) Nashik',Adult
FPQ-15259,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.370619,0.460926,'Strides Bangalore India.',Adult
FPQ-13048,'Direct Drop',EXW,10/28/13,Zidovudine,Generic,300mg,Tablet,59.059059,4.035255,0.377121,'Aurobindo Unit III India',Adult
FPQ-12522,'Direct Drop',DDP,8/27/14,Nevirapine,Generic,200mg,Tablet,59.059059,14.654737,1.382778,'Aurobindo Unit III India',Adult
FPQ-4537,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.028774,0.209512,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,2.259148,0.209512,'Ranbaxy Paonta Shahib India',Adult
FPQ-4698,'Direct Drop',FCA,1/15/10,Ritonavir,Norvir,100mg,Tablet,59.059059,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',Adult
'Pre-PQ Process','Direct Drop',CIP,3/4/09,'Didanosine EC','Videx EC',400mg,'Delayed-release capsules - blister',29.029029,17.590143,3.310287,'BMS Meymac France',Adult
FPQ-5523,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.529919,0.670438,'Mylan (formerly Matrix) Nashik',Adult
FPQ-4659,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,300mg,Tablet,59.059059,14.119675,1.340876,'Mylan (formerly Matrix) Nashik',Adult
FPQ-3967,'Direct Drop',FCA,9/11/09,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,26.871972,1.257071,'ABBVIE Ludwigshafen Germany',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.434648,0.796145,'Aurobindo Unit III India',Adult
FPQ-10287,'Direct Drop',EXW,8/14/12,Efavirenz,Generic,600mg,Tablet,29.029029,2.452365,0.460926,'Aurobindo Unit III India',Adult
FPQ-14942,'Direct Drop',DDP,10/9/14,Darunavir,Prezista,600mg,Tablet,59.059059,37.647513,3.519799,'Janssen-Cilag Latina IT',Adult
FPQ-3965,'Direct Drop',EXW,9/14/09,Darunavir,Prezista,300mg,Tablet,119.119119,66.882673,3.142678,'Aspen-OSD Port Elizabeth SA',Adult
FPQ-6677,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.731518,0.167609,'Aurobindo Unit III India',Adult
FPQ-4659,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.33804,0.796145,'Aurobindo Unit III India',Adult
FPQ-13973,'Direct Drop',DDP,10/3/14,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,14.208852,2.681752,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,5.729616,0.544731,'Aurobindo Unit III India',Adult
FPQ-14989,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,13.852145,0.670438,'ABBVIE Ludwigshafen Germany',Adult
FPQ-7175,'Direct Drop',DDP,3/23/11,Efavirenz,Generic,600mg,Tablet,29.029029,3.195505,0.586633,'Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India',Adult
FPQ-13973,'Direct Drop',DDP,4/28/15,Nevirapine,Generic,200mg,Tablet,59.059059,13.190749,1.257071,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,'Tablet - FDC',59.059059,52.019857,4.902577,'GSK Ware (UK)',Adult
FPQ-12248,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.138343,0.586633,'Hetero Unit III Hyderabad IN',Adult
FPQ-14052,'Direct Drop',EXW,5/23/14,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.093755,0.586633,'Aurobindo Unit III India',Adult
FPQ-12066,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,600/200/300mg,'Tablet - FDC',29.029029,9.140632,1.717997,'Mylan (formerly Matrix) Nashik',Adult
FPQ-13241,'Direct Drop',EXW,3/14/14,Darunavir,Prezista,600mg,Tablet,59.059059,49.493178,4.651163,'Janssen-Cilag Latina IT',Adult
FPQ-11143,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.679498,0.167609,'Aurobindo Unit III India',Adult
FPQ-10643,'Direct Drop',EXW,9/24/12,Nevirapine,Generic,200mg,Tablet,59.059059,1.672067,0.167609,'Aurobindo Unit III India',Adult
FPQ-9749,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,9.861479,1.843704,'Mylan (formerly Matrix) Nashik',Adult
FPQ-5023,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.028774,0.209512,'Strides Bangalore India.',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,12.08347,2.262728,'Aurobindo Unit III India',Adult
FPQ-9432,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,7.290211,0.670438,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','Direct Drop',EXW,4/10/08,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,10.151303,1.927509,'Mylan (formerly Matrix) Nashik',Adult
FPQ-11828,'Direct Drop',DDP,'N/A - From RDC',Lamivudine/Zidovudine,Combivir,150/300mg,'Tablet - FDC',59.059059,14.223715,1.340876,'GSK U1 Poznan Poland',Adult
FPQ-10895,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,8.999435,1.676095,'Mylan (formerly Matrix) Nashik',Adult
FPQ-7053,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,3.210368,0.586633,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.526679,0.251414,'Aurobindo Unit III India',Adult
FPQ-12416,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,300mg,Tablet,59.059059,8.44208,0.796145,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Zidovudine,Retrovir,300mg,Tablet,59.059059,9.155495,0.87995,'GSK Aranda',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Stavudine,Zerit,30mg,Capsule,59.059059,3.574507,0.335219,'BMS Meymac France',Adult
FPQ-10556,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,3.574507,0.670438,'Cipla Kurkumbh India',Adult
FPQ-8624,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.138343,0.586633,'Aurobindo Unit III India',Adult
FPQ-5668,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.731518,0.167609,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.509913,0.628536,'Mylan (formerly Matrix) Nashik',Adult
FPQ-12015,'From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,4.362237,0.838047,'Mylan (formerly Matrix) Nashik',Adult
FPQ-8522,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,5.216848,0.502828,'Hetero Unit III Hyderabad IN',Adult
FPQ-10674,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.376148,0.586633,'Mylan (formerly Matrix) Nashik',Adult
FPQ-8363,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.138343,0.586633,'Mylan (formerly Matrix) Nashik',Adult
FPQ-12662,'Direct Drop',EXW,8/12/13,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,4.265628,0.796145,'Mylan (formerly Matrix) Nashik',Adult
FPQ-3859,'Direct Drop',CIP,7/17/09,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,6.361285,1.215169,'Aurobindo Unit III India',Adult
FPQ-8365,'Direct Drop',FCA,11/11/11,Ritonavir,Norvir,100mg,Tablet,59.059059,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',Adult
FPQ-11002,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,3.492762,0.670438,'Aurobindo Unit VII IN',Adult
FPQ-13609,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,5.001338,0.460926,'Mylan (formerly Matrix) Nashik',Adult
FPQ-5127,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.33804,0.796145,'Mylan (formerly Matrix) Nashik',Adult
FPQ-13973,'Direct Drop',DDP,4/28/15,Lamivudine,Generic,150mg,Tablet,59.059059,6.792307,0.628536,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.378051,0.209512,'Aurobindo Unit III India',Adult
FPQ-13927,'Direct Drop',EXW,3/31/14,'Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,600/200/300mg,'Tablet - FDC',29.029029,8.724473,1.634192,'Mylan (formerly Matrix) Nashik',Adult
FPQ-10084,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,22.056419,1.047559,'Mylan (formerly Matrix) Nashik',Adult
FPQ-10210,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.798401,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-9355,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.865283,0.167609,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,21.699712,4.06453,'Aspen-OSD Port Elizabeth SA',Adult
